	Classifiers_combination	f1_score
177	['ETC', 'SVC_LIN', 'LGBM_RF']	0.857051282051282
178	['ETC', 'SVC_LIN', 'XGB']	0.8479245311452187
179	['ETC', 'SVC_LIN', 'XGB_RF']	0.8615079365079366
180	['ETC', 'SVC_LIN', 'LR']	0.8504777147291334
181	['ETC', 'SVC_RBF', 'CAT']	0.8200881951714729
182	['ETC', 'SVC_RBF', 'LGBM']	0.8395804737268152
183	['ETC', 'SVC_RBF', 'LGBM_RF']	0.8200881951714729
184	['ETC', 'SVC_RBF', 'XGB']	0.8465966429821852
185	['ETC', 'SVC_RBF', 'XGB_RF']	0.8318710973277054
186	['ETC', 'SVC_RBF', 'LR']	0.8374654444929434
187	['ETC', 'CAT', 'LGBM']	0.8370924343146565
188	['ETC', 'CAT', 'LGBM_RF']	0.8639918648954792
189	['ETC', 'CAT', 'XGB']	0.836518803784529
190	['ETC', 'CAT', 'XGB_RF']	0.8564193008637453
191	['ETC', 'CAT', 'LR']	0.8602258852258853
192	['ETC', 'LGBM', 'LGBM_RF']	0.829133714900927
193	['ETC', 'LGBM', 'XGB']	0.8468791808171247
194	['ETC', 'LGBM', 'XGB_RF']	0.8424753867791842
195	['ETC', 'LGBM', 'LR']	0.8486772486772486
196	['ETC', 'LGBM_RF', 'XGB']	0.8372188786822935
197	['ETC', 'LGBM_RF', 'XGB_RF']	0.8579796475552245
198	['ETC', 'LGBM_RF', 'LR']	0.8552308802308802
199	['ETC', 'XGB', 'XGB_RF']	0.8337831846867991
200	['ETC', 'XGB', 'LR']	0.8625660536884379
201	['ETC', 'XGB_RF', 'LR']	0.8566556158328309
202	['KNN', 'SVC_LIN', 'SVC_RBF']	0.7811180588958367
203	['KNN', 'SVC_LIN', 'CAT']	0.8449369813897692
204	['KNN', 'SVC_LIN', 'LGBM']	0.8389140271493213
205	['KNN', 'SVC_LIN', 'LGBM_RF']	0.822585460516495
206	['KNN', 'SVC_LIN', 'XGB']	0.8452168746286394
207	['KNN', 'SVC_LIN', 'XGB_RF']	0.8458476389510872
208	['KNN', 'SVC_LIN', 'LR']	0.83830789093947
209	['KNN', 'SVC_RBF', 'CAT']	0.8063745040489226
210	['KNN', 'SVC_RBF', 'LGBM']	0.791835933666961
211	['KNN', 'SVC_RBF', 'LGBM_RF']	0.7638284922103741
212	['KNN', 'SVC_RBF', 'XGB']	0.817673185196797
213	['KNN', 'SVC_RBF', 'XGB_RF']	0.7922398589065255
214	['KNN', 'SVC_RBF', 'LR']	0.7775127724904126
215	['KNN', 'CAT', 'LGBM']	0.8131137155527398
216	['KNN', 'CAT', 'LGBM_RF']	0.8317053317053317
217	['KNN', 'CAT', 'XGB']	0.8266303580895281
218	['KNN', 'CAT', 'XGB_RF']	0.8373596951910205
219	['KNN', 'CAT', 'LR']	0.8467115214103166
220	['KNN', 'LGBM', 'LGBM_RF']	0.7970313191196725
221	['KNN', 'LGBM', 'XGB']	0.8072003099780879
222	['KNN', 'LGBM', 'XGB_RF']	0.8101384212495324
223	['KNN', 'LGBM', 'LR']	0.8366357069143447
224	['KNN', 'LGBM_RF', 'XGB']	0.8302311811347955
225	['KNN', 'LGBM_RF', 'XGB_RF']	0.8249446027223805
226	['KNN', 'LGBM_RF', 'LR']	0.8351732511441113
227	['KNN', 'XGB', 'XGB_RF']	0.8247567949464968
228	['KNN', 'XGB', 'LR']	0.8452028324459224
229	['KNN', 'XGB_RF', 'LR']	0.8448349556060695
230	['SVC_LIN', 'SVC_RBF', 'CAT']	0.8552609188882587
231	['SVC_LIN', 'SVC_RBF', 'LGBM']	0.8480392156862745
232	['SVC_LIN', 'SVC_RBF', 'LGBM_RF']	0.8521423231473695
233	['SVC_LIN', 'SVC_RBF', 'XGB']	0.8405342983656237
234	['SVC_LIN', 'SVC_RBF', 'XGB_RF']	0.8602242088832126
235	['SVC_LIN', 'SVC_RBF', 'LR']	0.8542375963916776
236	['SVC_LIN', 'CAT', 'LGBM']	0.8507752529103757
